Package;Milliseconds;X_Accelerometer;Y_Accelerometer;Z_Accelerometer;X_Gyroscope;Y_Gyroscope;Z_Gyroscope
0;0;10;0;-145;-121;154;0
0;0;10;0;154;49;-24;0
0;0;10;0;-117;64;-67;0
0;0;10;0;52;12;-70;0
0;0;10;0;-41;0;-22;0
0;0;10;0;78;46;-48;0
0;0;10;0;-17;12;-32;0
0;0;10;0;19;26;-20;0
0;0;0;-32768;47;-16;-68;2048
0;0;0;-32768;5;-75;-16;0
0;0;0;-32768;17;-31;-99;0
0;0;0;-32768;-241;40;-46;0
0;0;0;-32768;275;-39;48;0
0;0;0;-32768;43;49;-4;0
0;0;0;-32768;-525;38;-45;0
0;0;0;-32768;3720;980;1216;0
0;0;0;-32768;9923;-3830;-489;0
0;0;0;-32768;1522;-273;2217;0
0;0;0;-32768;-3332;-2635;-775;0
0;0;0;-32768;3138;-7465;373;0
0;0;0;-32768;-1014;-4649;1654;0
0;0;0;-32768;-1892;15;1104;0
0;0;0;-32768;-8729;2284;5609;0
0;0;0;-32768;4932;10796;-976;0
0;0;3072;16386;5051;4208;-1212;0
0;0;3072;16386;-3596;-748;518;0
0;0;3072;16386;142;-15;-160;0
0;0;3072;16386;-82;38;-13;0
0;0;1052;8192;-134;-53;15;0
0;0;24697;1;-12;54;-110;0
0;0;24697;1;186;43;-35;0
0;0;24697;1;-46;8;14;0
0;0;24697;1;-15;7;2;0
0;0;24697;1;33;42;-14;0
0;0;24697;1;-12;31;-80;0
0;0;24697;1;58;13;-31;0
0;0;24697;1;34;32;-27;0
0;0;24697;1;52;27;27;0
0;0;24697;1;10;-13;-20;0
0;0;24697;1;42;48;-9;0
0;0;24697;1;124;39;-88;0
0;0;24697;1;8;-53;-25;0
0;0;24697;1;6;-18;-38;0
0;0;24697;1;97;22;-38;0
0;0;1052;8192;63;0;-88;0
0;0;1052;8192;61;-12;24;0
0;0;1052;8192;-60;8;-109;0
0;0;0;-32768;56;24;-24;2048
0;0;0;0;135;29;-94;0
0;0;0;0;-184;-74;54;0
0;0;0;0;-67;12;51;0
0;0;0;0;-70;11;-206;0
0;0;0;0;-121;121;-186;0
0;0;0;0;193;-40;-177;0
0;0;0;0;139;-116;401;0
0;0;0;0;414;-54;182;0
0;0;0;0;-135;-103;636;0
0;0;0;0;-2665;56;-672;0
0;0;0;0;4186;-1206;970;0
0;0;0;0;-224;855;-1280;0
0;0;0;0;-1342;337;2460;0
0;0;0;0;-1593;2860;908;0
0;0;0;0;-226;618;-821;0
